2024-05-16 17:33:52 Notice: Notice (8): Undefined property: TestController::$Categorias in [APP/controllers/test_controller.php, line 9]
2024-05-16 22:21:09 Notice: Notice (8): Undefined index: nombre_categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:21:41 Notice: Notice (8): Undefined index: nombre_categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:22:43 Notice: Notice (8): Undefined index: nombre_categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:23:01 Notice: Notice (8): Undefined index: nombre_categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:23:29 Notice: Notice (8): Undefined index: nombre_categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:25:04 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:25:30 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:25:31 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:25:32 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:25:33 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 3]
2024-05-16 22:26:04 Notice: Notice (8): Array to string conversion in [APP/views/test/index.ctp, line 1]
2024-05-16 22:26:04 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 4]
2024-05-16 22:26:17 Notice: Notice (8): Array to string conversion in [APP/views/test/index.ctp, line 1]
2024-05-16 22:26:17 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 4]
2024-05-16 22:26:23 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 4]
2024-05-16 22:26:24 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 4]
2024-05-16 22:27:04 Notice: Notice (8): Undefined index: Categoria in [APP/views/test/index.ctp, line 4]
